COD_MATRICULA|ALUNO_MATRICULADO_PROX_PERIODO|ALUNO_MATRICULADO|CONDICAO_GERENCIAL|CONDICAO_IMPEDE_RENOVACAO|TIPO_INADIMPLENCIA|RISCO_INADIMPLENCIA|COD_CURSO|COD_TURNO|COD_TIPO_CURSO|CLASSE_PAGANTE_ANT|CLASSE_PAGANTE_ATU|NOVO_FIES|PRV_ANT|PRV_ATU|LATE_COMER|NOM_SITUACAO_ALUNO|NOM_SITUACAO_PERIODO_ANT|VAL_A_PAGAR|VAL_A_PAGAR_PAR|VAL_DIVIDA_MENS|VAL_DIVIDA_TOTAL|FAIXA_DE_DIVIDA|ADIMP_N_REN|CR_PER_ANT|FAIXA_APROVACAO|QTD_ACESSOS_19_2|QTD_ACESSOS_20_1|IND_INDICIO_EVASAO|CLASSIFICACAO_PROP_EVASAO|CLASSIFICACAO_PROP_RENOVACAO|ACEITE_CONTRATO|PASTA_VERMELHA|REQ_AGEND_TRANC|SAFRA
201902590759|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|21|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|987.46|0.0|0.0|0.0|SEM DIVIDA|0|6.61|5 - 61% A 80%|51.0|29.0|0|1 - Alto|3 - Médio Baixo|1|0|0|VETERANO
201902596749|0|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE COM NEGOCIACAO|BAIXO RISCO|21|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|3523.48|4679.2|> 1500|0|6.72|4 - 41% A 60%|85.0|56.0|0|2 - Médio Alto|4 - Baixo|1|0|0|VETERANO
201902603451|0|0|2 - ALUNO EVADIDO|ALUNO EVADIDO SEM RENOVAR|ADIMPLENTE|SEM RISCO|4070|3|4|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Transferido|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|0.0|7 - 100%|87.0|63.0|0|1 - Alto|3 - Médio Baixo|1|0|0|VETERANO
201902606671|1|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|MEDIO RISCO|21|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|2908.55|2908.55|> 1500|0|6.71|6 - 81% A 99%|181.0|126.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
201902612167|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|INADIMPLENTE COM NEGOCIACAO|MEDIO RISCO|21|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|872.48|0.0|0.0|135.14|SEM DIVIDA|0|6.65|6 - 81% A 99%|82.0|82.0|0|2 - Médio Alto|3 - Médio Baixo|1|0|0|VETERANO
201902612175|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|166|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1200.0|4.7|0.0|0.0|SEM DIVIDA|0|6.89|7 - 100%|127.0|115.0|0|2 - Médio Alto|3 - Médio Baixo|1|0|0|VETERANO
201902612183|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|166|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|525.0|0.0|0.0|0.0|SEM DIVIDA|0|6.61|7 - 100%|133.0|103.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612205|0|0|2 - ALUNO EVADIDO|ALUNO EVADIDO SEM RENOVAR|ADIMPLENTE|SEM RISCO|4003|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Transferido|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|6.8|7 - 100%|50.0|54.0|1|3 - Médio Baixo|3 - Médio Baixo|0|0|0|VETERANO
201902612213|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|4004|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|667.69|0.0|0.0|0.0|SEM DIVIDA|0|6.14|5 - 61% A 80%|48.0|45.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612221|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|4004|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|740.32|0.0|0.0|0.0|SEM DIVIDA|0|6.81|7 - 100%|51.0|40.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
